# x86 instruction set description version 0.2, 2023-07-17
# Based on Intel Instruction Set Reference #325383-080US, June 2023.
# https://golang.org/x/arch/x86/x86spec
"BLSI r32, r/m32","BLSIL r/m32, r32","blsil r/m32, r32","VEX.LZ.0F38.W0 F3 /3","V","V","BMI1","","","Y","32"
"BLSI r64, r/m64","BLSIQ r/m64, r64","blsiq r/m64, r64","VEX.LZ.0F38.W1 F3 /3","N.E.","V","BMI1","","","Y","64"
"BLSMSK r32, r/m32","BLSMSKL r/m32, r32","blsmskl r/m32, r32","VEX.LZ.0F38.W0 F3 /2","V","V","BMI1","","","Y","32"
"BLSMSK r64, r/m64","BLSMSKQ r/m64, r64","blsmskq r/m64, r64","VEX.LZ.0F38.W1 F3 /2","N.E.","V","BMI1","","","Y","64"
"BLSR r32, r/m32","BLSRL r/m32, r32","blsrl r/m32, r32","VEX.LZ.0F38.W0 F3 /1","V","V","BMI1","","","Y","32"
"BLSR r64, r/m64","BLSRQ r/m64, r64","blsrq r/m64, r64","VEX.LZ.0F38.W1 F3 /1","N.E.","V","BMI1","","","Y","64"
"BNDCL bnd, r/m32","BNDCL r/m32, bnd","bndcl r/m32, bnd","F3 0F 1A /r","V","N.E.","MPX","","","",""
"BNDCL bnd, r/m64","BNDCL r/m64, bnd","bndcl r/m64, bnd","F3 0F 1A /r","N.E.","V","MPX","","","",""
"BNDCN bnd, r/m32","BNDCN r/m32, bnd","bndcn r/m32, bnd","F2 0F 1B /r","V","N.E.","MPX","","","",""
"BNDCN bnd, r/m64","BNDCN r/m64, bnd","bndcn r/m64, bnd","F2 0F 1B /r","N.E.","V","MPX","","","",""
"BNDCU bnd, r/m32","BNDCU r/m32, bnd","bndcu r/m32, bnd","F2 0F 1A /r","V","N.E.","MPX","","","",""
"BNDCU bnd, r/m64","BNDCU r/m64, bnd","bndcu r/m64, bnd","F2 0F 1A /r","N.E.","V","MPX","","","",""
"BNDLDX bnd1, mib","BNDLDX mib, bnd1","bndldx mib, bnd1","NP 0F 1A /r","V","V","MPX","","w,r","",""
"BNDMK bnd, m32","BNDMK m32, bnd","bndmk m32, bnd","F3 0F 1B /r","V","N.E.","MPX","","","",""
"BNDMK bnd, m64","BNDMK m64, bnd","bndmk m64, bnd","F3 0F 1B /r","N.E.","V","MPX","","","",""
"BNDMOV bnd1, bnd2/m128","BNDMOV bnd2/m128, bnd1","bndmov bnd2/m128, bnd1","66 0F 1A /r","N.E.","V","MPX","","","",""
"BNDMOV bnd1, bnd2/m64","BNDMOV bnd2/m64, bnd1","bndmov bnd2/m64, bnd1","66 0F 1A /r","V","N.E.","MPX","","","",""
"BNDMOV bnd1/m128, bnd2","BNDMOV bnd2, bnd1/m128","bndmov bnd2, bnd1/m128","66 0F 1B /r","N.E.","V","MPX","","","",""
"BNDMOV bnd1/m64, bnd2","BNDMOV bnd2, bnd1/m64","bndmov bnd2, bnd1/m64","66 0F 1B /r","V","N.E.","MPX","","","",""
"BNDSTX mib, bnd1","BNDSTX bnd1, mib","bndstx bnd1, mib","NP 0F 1B /r","V","V","MPX","","r,r","",""
"BOUND r16, m16&16","BOUNDW m16&16, r16","boundw r16, m16&16","62 /r","V","I","","operand16","","Y","16"
"BOUND r32, m32&32","BOUNDL m32&32, r32","boundl r32, m32&32","62 /r","V","I","","operand32","","Y","32"
